Data name,Original NMI,Sub NMI,Improvement,Percentage,Original modularity,Division count,Mother clusters,Child clusters
dolphin,0.5124320681941835,0.5124320681941835,0.0,0.0,0.5241090146750523,0,5,0
football,0.8903166312052426,0.8903166312052426,0.0,0.0,0.6045695626834573,0,10,0
karate,0.5866347600965969,0.5866347600965969,0.0,0.0,0.41880341880341876,0,4,0
mexican,0.2601048872605128,0.2601048872605128,0.0,0.0,0.35952224413762873,0,4,0
polbooks,0.5602630985644044,0.5602630985644044,0.0,0.0,0.5272365938060788,0,5,0
railway,0.6121878684480376,0.6121878684480376,0.0,0.0,0.7419004843222693,0,18,0
strike,0.8840698882757511,0.8840698882757511,0.0,0.0,0.5619806094182827,0,4,0
